Fecha	Temperatura (K)	Humedad (%)	Presion (Pa)	Device ID
2025-12-02 17:10:24	295.78	58.47	81444	24:D7:EB:59:2E:30
2025-12-02 17:10:24	295.77	58.47	81446	24:D7:EB:59:2E:30
2025-12-02 17:10:23	295.78	58.5	81446	24:D7:EB:59:2E:30
2025-12-02 17:10:23	295.78	58.5	81446	24:D7:EB:59:2E:30
2025-12-02 17:10:22	295.78	58.52	81446	24:D7:EB:59:2E:30
2025-12-02 17:10:22	295.78	58.5	81446	24:D7:EB:59:2E:30
2025-12-02 17:10:21	295.78	58.53	81446	24:D7:EB:59:2E:30
2025-12-02 17:10:21	295.78	58.52	81446	24:D7:EB:59:2E:30
2025-12-02 17:10:20	295.78	58.54	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:20	295.78	58.54	81445	24:D7:EB:59:2E:30
2025-12-02 17:10:19	295.78	58.56	81443	24:D7:EB:59:2E:30
2025-12-02 17:10:19	295.78	58.55	81446	24:D7:EB:59:2E:30
2025-12-02 17:10:18	295.77	58.58	81444	24:D7:EB:59:2E:30
2025-12-02 17:10:17	295.78	58.59	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:17	295.78	58.58	81449	24:D7:EB:59:2E:30
2025-12-02 17:10:16	295.78	58.59	81448	24:D7:EB:59:2E:30
2025-12-02 17:10:16	295.77	58.59	81448	24:D7:EB:59:2E:30
2025-12-02 17:10:15	295.78	58.6	81448	24:D7:EB:59:2E:30
2025-12-02 17:10:15	295.78	58.6	81444	24:D7:EB:59:2E:30
2025-12-02 17:10:14	295.78	58.61	81443	24:D7:EB:59:2E:30
2025-12-02 17:10:14	295.78	58.6	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:13	295.78	58.59	81448	24:D7:EB:59:2E:30
2025-12-02 17:10:13	295.78	58.6	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:12	295.78	58.6	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:12	295.78	58.6	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:11	295.79	58.6	81450	24:D7:EB:59:2E:30
2025-12-02 17:10:11	295.78	58.61	81448	24:D7:EB:59:2E:30
2025-12-02 17:10:10	295.78	58.6	81448	24:D7:EB:59:2E:30
2025-12-02 17:10:09	295.78	58.6	81448	24:D7:EB:59:2E:30
2025-12-02 17:10:09	295.78	58.6	81448	24:D7:EB:59:2E:30
2025-12-02 17:10:08	295.78	58.61	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:08	295.78	58.61	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:07	295.78	58.61	81450	24:D7:EB:59:2E:30
2025-12-02 17:10:07	295.78	58.61	81448	24:D7:EB:59:2E:30
2025-12-02 17:10:06	295.78	58.62	81448	24:D7:EB:59:2E:30
2025-12-02 17:10:06	295.79	58.62	81450	24:D7:EB:59:2E:30
2025-12-02 17:10:05	295.78	58.62	81446	24:D7:EB:59:2E:30
2025-12-02 17:10:05	295.79	58.62	81450	24:D7:EB:59:2E:30
2025-12-02 17:10:04	295.78	58.63	81451	24:D7:EB:59:2E:30
2025-12-02 17:10:04	295.78	58.62	81450	24:D7:EB:59:2E:30
2025-12-02 17:10:03	295.77	58.64	81449	24:D7:EB:59:2E:30
2025-12-02 17:10:03	295.78	58.63	81449	24:D7:EB:59:2E:30
2025-12-02 17:10:02	295.78	58.64	81449	24:D7:EB:59:2E:30
2025-12-02 17:10:02	295.78	58.64	81448	24:D7:EB:59:2E:30
2025-12-02 17:10:01	295.78	58.64	81447	24:D7:EB:59:2E:30
2025-12-02 17:10:00	295.78	58.65	81449	24:D7:EB:59:2E:30
2025-12-02 17:10:00	295.78	58.65	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:59	295.77	58.65	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:59	295.78	58.65	81450	24:D7:EB:59:2E:30
2025-12-02 17:09:58	295.78	58.65	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:58	295.77	58.65	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:57	295.77	58.64	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:57	295.77	58.64	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:56	295.78	58.63	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:56	295.77	58.63	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:55	295.77	58.62	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:55	295.77	58.62	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:54	295.77	58.62	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:54	295.77	58.62	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:53	295.77	58.62	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:52	295.78	58.61	81449	24:D7:EB:59:2E:30
2025-12-02 17:09:52	295.78	58.61	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:51	295.77	58.61	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:51	295.77	58.61	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:50	295.77	58.63	81448	24:D7:EB:59:2E:30
2025-12-02 17:09:50	295.77	58.62	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:49	295.77	58.66	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:49	295.77	58.64	81443	24:D7:EB:59:2E:30
2025-12-02 17:09:48	295.77	58.7	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:48	295.77	58.69	81441	24:D7:EB:59:2E:30
2025-12-02 17:09:47	295.77	58.72	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:47	295.77	58.7	81444	24:D7:EB:59:2E:30
2025-12-02 17:09:46	295.77	58.74	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:46	295.77	58.73	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:45	295.77	58.79	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:45	295.78	58.75	81443	24:D7:EB:59:2E:30
2025-12-02 17:09:44	295.77	58.8	81444	24:D7:EB:59:2E:30
2025-12-02 17:09:43	295.77	58.83	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:43	295.77	58.82	81442	24:D7:EB:59:2E:30
2025-12-02 17:09:42	295.77	58.87	81447	24:D7:EB:59:2E:30
2025-12-02 17:09:42	295.78	58.85	81443	24:D7:EB:59:2E:30
2025-12-02 17:09:41	295.77	58.9	81445	24:D7:EB:59:2E:30
2025-12-02 17:09:41	295.78	58.88	81444	24:D7:EB:59:2E:30
2025-12-02 17:09:40	295.77	58.92	81442	24:D7:EB:59:2E:30
2025-12-02 17:09:40	295.77	58.91	81444	24:D7:EB:59:2E:30
2025-12-02 17:09:39	295.78	58.94	81446	24:D7:EB:59:2E:30
2025-12-02 17:09:39	295.77	58.92	81443	24:D7:EB:59:2E:30
2025-12-02 17:09:38	295.78	58.96	81444	24:D7:EB:59:2E:30
