Fecha,Temperatura (K),Humedad (%),Presion (Pa),MAC Address,Alias
2025-12-03 15:02:10,294.46,61.17,81596,24:D7:EB:59:2E:30,---
2025-12-03 15:02:11,294.46,61.17,81596,24:D7:EB:59:2E:30,---
2025-12-03 15:02:11,294.46,61.17,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:12,294.46,61.17,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:12,294.46,61.17,81592,24:D7:EB:59:2E:30,---
2025-12-03 15:02:13,294.47,61.17,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:13,294.47,61.17,81596,24:D7:EB:59:2E:30,---
2025-12-03 15:02:14,294.46,61.17,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:14,294.46,61.15,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:15,294.46,61.16,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:15,294.46,61.16,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:16,294.46,61.17,81591,24:D7:EB:59:2E:30,---
2025-12-03 15:02:16,294.46,61.15,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:17,294.47,61.16,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:17,294.47,61.16,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:18,294.47,61.17,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:19,294.48,61.16,81597,24:D7:EB:59:2E:30,---
2025-12-03 15:02:19,294.47,61.14,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:20,294.46,61.15,81591,24:D7:EB:59:2E:30,---
2025-12-03 15:02:20,294.47,61.14,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:21,294.47,61.14,81595,24:D7:EB:59:2E:30,---
2025-12-03 15:02:21,294.46,61.14,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:22,294.47,61.14,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:22,294.47,61.14,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:23,294.47,61.14,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:23,294.47,61.14,81592,24:D7:EB:59:2E:30,---
2025-12-03 15:02:24,294.47,61.14,81596,24:D7:EB:59:2E:30,---
2025-12-03 15:02:24,294.46,61.14,81591,24:D7:EB:59:2E:30,---
2025-12-03 15:02:25,294.47,61.14,81596,24:D7:EB:59:2E:30,---
2025-12-03 15:02:25,294.47,61.14,81592,24:D7:EB:59:2E:30,---
2025-12-03 15:02:26,294.47,61.14,81591,24:D7:EB:59:2E:30,---
2025-12-03 15:02:26,294.46,61.14,81591,24:D7:EB:59:2E:30,---
2025-12-03 15:02:27,294.47,61.14,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:28,294.47,61.13,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:28,294.47,61.14,81595,24:D7:EB:59:2E:30,---
2025-12-03 15:02:29,294.47,61.14,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:29,294.47,61.14,81592,24:D7:EB:59:2E:30,---
2025-12-03 15:02:30,294.47,61.14,81592,24:D7:EB:59:2E:30,---
2025-12-03 15:02:30,294.47,61.14,81592,24:D7:EB:59:2E:30,---
2025-12-03 15:02:31,294.47,61.13,81592,24:D7:EB:59:2E:30,---
2025-12-03 15:02:31,294.48,61.13,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:32,294.47,61.13,81596,24:D7:EB:59:2E:30,---
2025-12-03 15:02:32,294.48,61.13,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:33,294.47,61.13,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:33,294.48,61.15,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:34,294.47,61.14,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:34,294.47,61.14,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:35,294.47,61.14,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:36,294.48,61.15,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:36,294.48,61.15,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:37,294.48,61.15,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:37,294.48,61.13,81595,24:D7:EB:59:2E:30,---
2025-12-03 15:02:38,294.47,61.14,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:38,294.48,61.15,81596,24:D7:EB:59:2E:30,---
2025-12-03 15:02:39,294.49,61.13,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:39,294.48,61.13,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:40,294.48,61.13,81592,24:D7:EB:59:2E:30,---
2025-12-03 15:02:40,294.49,61.12,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:41,294.48,61.13,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:41,294.49,61.12,81595,24:D7:EB:59:2E:30,---
2025-12-03 15:02:42,294.48,61.12,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:42,294.48,61.12,81592,24:D7:EB:59:2E:30,---
2025-12-03 15:02:43,294.48,61.12,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:43,294.49,61.11,81595,24:D7:EB:59:2E:30,---
2025-12-03 15:02:44,294.48,61.11,81592,24:D7:EB:59:2E:30,---
2025-12-03 15:02:45,294.48,61.12,81592,24:D7:EB:59:2E:30,---
2025-12-03 15:02:45,294.48,61.12,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:46,294.48,61.13,81592,24:D7:EB:59:2E:30,---
2025-12-03 15:02:46,294.48,61.12,81591,24:D7:EB:59:2E:30,---
2025-12-03 15:02:47,294.49,61.12,81589,24:D7:EB:59:2E:30,---
2025-12-03 15:02:47,294.49,61.12,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:48,294.49,61.12,81592,24:D7:EB:59:2E:30,---
2025-12-03 15:02:48,294.49,61.12,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:49,294.49,61.12,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:49,294.49,61.12,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:50,294.48,61.13,81594,24:D7:EB:59:2E:30,---
2025-12-03 15:02:50,294.49,61.13,81593,24:D7:EB:59:2E:30,---
2025-12-03 15:02:51,294.48,61.12,81591,24:D7:EB:59:2E:30,---
2025-12-03 15:02:51,294.48,61.12,81591,24:D7:EB:59:2E:30,---
2025-12-03 15:02:52,294.49,61.12,81591,24:D7:EB:59:2E:30,---
