Fecha	Temperatura (K)	Humedad (%)	Presion (Pa)	Device ID
2025-12-02 16:49:37	295.65	59.16	81441	24
2025-12-02 16:49:36	295.65	59.15	81439	24
2025-12-02 16:49:36	295.65	59.17	81440	24
2025-12-02 16:49:35	295.65	59.15	81442	24
2025-12-02 16:49:35	295.65	59.17	81439	24
2025-12-02 16:49:34	295.65	59.17	81438	24
2025-12-02 16:49:34	295.65	59.18	81440	24
2025-12-02 16:49:33	295.65	59.18	81439	24
2025-12-02 16:49:33	295.65	59.18	81441	24
2025-12-02 16:49:32	295.65	59.18	81441	24
2025-12-02 16:49:32	295.65	59.18	81439	24
2025-12-02 16:49:31	295.65	59.18	81441	24
2025-12-02 16:49:31	295.65	59.18	81440	24
2025-12-02 16:49:30	295.65	59.17	81441	24
2025-12-02 16:49:29	295.65	59.18	81441	24
2025-12-02 16:49:29	295.65	59.17	81441	24
2025-12-02 16:49:28	295.65	59.17	81440	24
2025-12-02 16:49:28	295.65	59.17	81441	24
2025-12-02 16:49:27	295.65	59.17	81440	24
2025-12-02 16:49:27	295.66	59.17	81441	24
2025-12-02 16:49:26	295.65	59.17	81441	24
2025-12-02 16:49:26	295.65	59.15	81440	24
2025-12-02 16:49:25	295.65	59.15	81442	24
2025-12-02 16:49:25	295.65	59.17	81439	24
2025-12-02 16:49:24	295.65	59.15	81436	24
2025-12-02 16:49:24	295.65	59.15	81439	24
2025-12-02 16:49:23	295.65	59.15	81439	24
2025-12-02 16:49:23	295.64	59.17	81439	24
2025-12-02 16:49:22	295.65	59.15	81439	24
2025-12-02 16:49:21	295.65	59.16	81437	24
2025-12-02 16:49:21	295.65	59.15	81442	24
2025-12-02 16:49:20	295.65	59.14	81441	24
2025-12-02 16:49:20	295.66	59.14	81440	24
2025-12-02 16:49:19	295.65	59.14	81439	24
2025-12-02 16:49:19	295.65	59.14	81439	24
2025-12-02 16:49:18	295.65	59.14	81439	24
2025-12-02 16:49:18	295.65	59.13	81437	24
2025-12-02 16:49:17	295.65	59.13	81438	24
2025-12-02 16:49:17	295.65	59.14	81438	24
2025-12-02 16:49:16	295.65	59.13	81440	24
2025-12-02 16:49:16	295.65	59.13	81439	24
2025-12-02 16:49:15	295.65	59.12	81442	24
2025-12-02 16:49:15	295.65	59.13	81441	24
2025-12-02 16:49:14	295.65	59.12	81439	24
2025-12-02 16:49:14	295.65	59.12	81444	24
